Industry,ROE (unadjusted)
Advertising Agencies,13.57
Aerospace & Defense,9.87
Agricultural Inputs,23.65
Airlines,-11.37
Apparel Manufacturing,13.52
Apparel Retail,35.53
Asset Management,17.17
Auto Manufacturers,15.68
Auto Parts,15.68
Auto & Truck Dealerships,15.68
Banks - Diversified,11.35
Banks - Regional,11.80
Beverages - Non-Alcoholic,31.94
Beverages - Wineries & Distilleries,5.28
Beverages - Brewers,5.28
Broadcasting,20.76
Building Materials,32.73
Business Equipment & Supplies,7.96
Capital Markets,13.43
Chemicals,29.92
Coking Coal,74.08
Communication Equipment,20.13
Computer Hardware,96.26
Conglomerates,0.82
Consumer Electronics,1.28
Credit Services,48.08
Department Stores,18.29
Diagnostics & Research,12.61
Discount Stores,25.18
Drug Manufacturers - General,24.54
Drug Manufacturers - Specialty & Generic,24.54
Education & Training Services,3.19
Electrical Equipment & Parts,13.20
Electronic Components,8.28
Electronics & Computer Distribution,25.18
Engineering & Construction,7.50
Entertainment,1.18
Farm & Heavy Construction Machinery,15.49
Farm Products,23.65
Financial Data & Stock Exchanges,48.08
Food Distribution,11.39
Footwear & Accessories,36.28
"Furnishings, Fixtures & Appliances",5.45
Gambling,2.53
Gold,3.66
Grocery Stores,27.98
Healthcare Plans,12.34
Health Information Services,-0.29
Home Improvement Retail,30.75
Household & Personal Products,33.18
Information Technology Services,14.22
Insurance Brokers,9.57
Insurance - Diversified,17.43
Insurance - Life,5.58
Insurance - Property & Casualty,5.71
Insurance - Specialty,9.57
Integrated Freight & Logistics,24.77
Internet Content & Information,18.58
Internet Retail,25.18
Leisure,3.95
Lodging,2.53
Luxury Goods,13.52
Marine Shipping,35.29
Medical Care Facilities,49.04
Medical Devices,7.09
Medical Instruments & Supplies,7.09
Metal Fabrication,21.10
Mortgage Finance,48.08
Oil & Gas Drilling,41.82
Oil & Gas E&P,47
Oil & Gas Equipment & Services,30.82
Oil & Gas Integrated,32.42
Oil & Gas Midstream,32.42
Oil & Gas Refining & Marketing,4.09
Packaged Foods,11.34
Packaging & Containers,19.75
Paper & Paper Products,46.83
Pharmaceutical Retailers,12.61
Pollution & Treatment Controls,16.47
Publishing,5.15
Railroads,33.56
Real Estate - Development,10.51
Real Estate - Diversified,6.68
Real Estate Services,-3.58
REIT - Diversified,8.85
REIT - Healthcare Facilities,8.85
REIT - Hotel & Motel,8.85
REIT - Industrial,8.85
REIT - Mortgage,8.85
REIT - Office,8.85
REIT - Residential,8.85
REIT - Retail,8.85
REIT - Specialty,8.85
Rental & Leasing Services,-3.58
Residential Construction,30.75
Resorts & Casinos,2.53
Semiconductor Equipment & Materials,36.28
Semiconductors,22.77
Software - Application,19.68
Software-Application,19.68
Software - Infrastructure,19.68
Software-Infrastructure,19.68
Solar,18.27
Specialty Chemicals,11.43
Specialty Industrial Machinery,15.49
Specialty Retail,24.16
Steel,53.75
Telecom Services,15.76
Textile Manufacturing,13.52
Thermal Coal,74.08
Tools & Accessories,13.20
Trucking,4.05
Utilities - Diversified,11.28
Utilities - Regulated Electric,11.28
Utilities - Regulated Gas,11.28
Utilities - Regulated Water,13.19
Utilities - Renewable,18.27
Waste Management,16.47
